"","mz1","rt1","Intensity","mz2","rt2","Metabolite","Accession","Theoretical_mz","Adduct","Charge","Annotation","Score","delmz_ppm","Grades"
"5287",225.099454,11.6766666666667,4179643.5,225.0994461,11.67317403,"L-Carnosine_RT2","NISTNO:1343042",225.0994461,"[M-H]-",-1,"12C",0.995048684913817,0.0350955982956781,"A+"
"5290",225.099454,11.6766666666667,4179643.5,225.0994461,11.67317403,"His-.beta.-Ala_RT2","NISTNO:1006933",225.0994461,"[M-H]-",-1,"12C",0.995048684913817,0.0350955982956781,"A+"
"4335",111.0088697,9.98763333333333,6363198.5,111.0088652,9.991785685,"2-Hydroxy-N-methylsuccinimide_RT5","NISTNO:1005363",111.0088652,"[M-H-NH3]-",-1,"12C",0.994197004879724,0.0405373013436731,"A+"
"4344",111.0088697,9.98763333333333,6363198.5,111.0088652,9.991785685,"3-Furancarboxylic acid_RT4","NISTNO:1344260",111.0088652,"[M-H]-",-1,"12C",0.994197004879724,0.0405373013436731,"A+"
"4353",111.0088697,9.98763333333333,6363198.5,111.0088652,9.991785685,"2-Furancarboxylic acid_RT4","NISTNO:1343690",111.0088652,"[M-H]-",-1,"12C",0.994197004879724,0.0405373013436731,"A+"
"304",118.0510998,10.7932166666667,506656544,118.0511052,10.7973643,"L-Threonine_RT5","NISTNO:1187914",118.0511052,"[M-H]-",-1,"12C",0.993825294023268,0.045742902871716,"A+"
"325",118.0510998,10.7932166666667,506656544,118.0511052,10.7973643,"L-Serine methyl ester_RT5","NISTNO:1255567",118.0511052,"[M-H]-",-1,"12C",0.993825294023268,0.045742902871716,"A+"
"334",118.0510998,10.7932166666667,506656544,118.0511052,10.7973643,"DL-Homoserine_RT5","NISTNO:1007226",118.0511052,"[M-H]-",-1,"12C",0.993825294023268,0.045742902871716,"A+"
"626",132.0302982,10.0222333333333,178597968,132.0302988,10.01563212,"L-Aspartic acid_RT2","NISTNO:1189476",132.0302988,"[M-H]-",-1,"12C",0.993383162823353,0.00454441140390308,"A+"
"635",132.0302982,10.0222333333333,178597968,132.0302988,10.01563212,"D-Aspartic acid_RT2","NISTNO:1250917",132.0302988,"[M-H]-",-1,"12C",0.993383162823353,0.00454441140390308,"A+"
"644",132.0302982,10.0222333333333,178597968,132.0302988,10.01563212,"Iminodiacetic acid_RT2","NISTNO:1359516",132.0302988,"[M-H]-",-1,"12C",0.993383162823353,0.00454441140390308,"A+"
"653",132.0302982,10.0222333333333,178597968,132.0302988,10.01563212,"Ethyl nitroacetate_RT2","NISTNO:1189856",132.0302988,"[M-H]-",-1,"12C",0.993383162823353,0.00454441140390308,"A+"
"751",146.0459518,9.38491666666667,142935392,146.0459424,9.386783854,"L-Glutamic acid_RT4","NISTNO:1188753",146.0459424,"[M-H]-",-1,"12C",0.993298303371315,0.0643633041143516,"A+"
"755",146.0459518,9.38491666666667,142935392,146.0459424,9.386783854,"N-Methyl-D-aspartic acid_RT4","NISTNO:1255292",146.0459424,"[M-H]-",-1,"12C",0.993298303371315,0.0643633041143516,"A+"
"3712",167.0210602,9.5619,14986557,167.0210618,9.568600464,"Uric acid","NISTNO:1352380",167.0210618,"[M-H]-",-1,"12C",0.993231402583016,0.00957963035788319,"A+"
"389",130.0873993,9.77646666666667,481029952,130.0874078,9.77958374,"N-Methyl-L-valine_RT3","NISTNO:1251177",130.0874078,"[M-H]-",-1,"12C",0.992760511094923,0.0653406867436797,"A+"
"396",130.0873993,9.77646666666667,481029952,130.0874078,9.77958374,"Norleucine_RT3","NISTNO:1007133",130.0874078,"[M-H]-",-1,"12C",0.992760511094923,0.0653406867436797,"A+"
"1582",88.04048568,10.92435,53960880,88.04048278,10.93225708,".beta.-Alanine_RT2","NISTNO:1570391",88.04048278,"[M-H]-",-1,"12C",0.991434257239095,0.0329393911899027,"A+"
"1591",88.04048568,10.92435,53960880,88.04048278,10.93225708,"Sarcosine_RT2","NISTNO:1059351",88.04048278,"[M-H]-",-1,"12C",0.991434257239095,0.0329393911899027,"A+"
"1600",88.04048568,10.92435,53960880,88.04048278,10.93225708,"L-Alanine_RT2","NISTNO:1036469",88.04048278,"[M-H]-",-1,"12C",0.991434257239095,0.0329393911899027,"A+"
"3480",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"Isocitric acid","NISTNO:1054361",173.0091622,"[M-H-H2O]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"3489",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"Citric acid","NISTNO:1005995",173.0091622,"[M-H-H2O]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"3498",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"D-Saccharic acid 1,4-lactone","NISTNO:1051882",173.0091622,"[M-H-H2O]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"3507",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"DL-Isocitric acid lactone","NISTNO:1052246",173.0091622,"[M-H]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"3516",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"trans-Aconitic acid","NISTNO:1052238",173.0091622,"[M-H]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"3525",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"cis-Aconitic acid","NISTNO:1052231",173.0091622,"[M-H]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"3534",173.0091771,9.77646666666667,15973149,173.0091622,9.77958374,"Erythritol bis(carbonate)","NISTNO:1053075",173.0091622,"[M-H]-",-1,"12C",0.990841006229516,0.0861225990796714,"A+"
"524",164.0717958,9.32388333333333,252469952,164.0717977,9.333488973,"(-)-Epinephrine","NISTNO:1147883",164.0717977,"[M-H-H2O]-",-1,"12C",0.990324807701282,0.011580296245452,"A+"
"533",164.0717958,9.32388333333333,252469952,164.0717977,9.333488973,"L-Phenylalanine","NISTNO:1251542",164.0717977,"[M-H]-",-1,"12C",0.990324807701282,0.011580296245452,"A+"
"542",164.0717958,9.32388333333333,252469952,164.0717977,9.333488973,"DL-Phenylalanine","NISTNO:1189960",164.0717977,"[M-H]-",-1,"12C",0.990324807701282,0.011580296245452,"A+"
"552",164.0717958,9.32388333333333,252469952,164.0717977,9.333488973,"Benzocaine","NISTNO:1053469",164.0717977,"[M-H]-",-1,"12C",0.990324807701282,0.011580296245452,"A+"
"458",135.0299003,9.5619,294702464,135.0299101,9.555494181,"Threonic acid","NISTNO:1148102",135.0299101,"[M-H]-",-1,"12C",0.990319709370159,0.0725765179775228,"A+"
"7191",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,"DL-Glyceraldehyde_RT2","NISTNO:1031235",71.01387886,"[M-H-H2O]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"7200",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,"Methoxyacetic acid_RT2","NISTNO:1063219",71.01387886,"[M-H-H2O]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"7209",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,".beta.-Hydroxypropionic acid_RT2","NISTNO:1127166",71.01387886,"[M-H-H2O]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"7215",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,"L-Alanine","NISTNO:1036469",71.01387886,"[M-H-NH3]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"7224",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,"Sarcosine","NISTNO:1059351",71.01387886,"[M-H-NH3]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"7233",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,".beta.-Alanine","NISTNO:1570391",71.01387886,"[M-H-NH3]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"7242",71.01388397,10.5477333333333,1212075.5,71.01387886,10.55431315,"Pyruvaldehyde","NISTNO:1103351",71.01387886,"[M-H]-",-1,"12C",0.990249452374304,0.0719577595774224,"A+"
"3593",101.0244606,9.61003333333333,15206909,101.0244553,9.601236979,"D-(-)-Erythrose_RT2","NISTNO:1625989",101.0244553,"[M-H-H2O]-",-1,"12C",0.98975797712401,0.052462541908266,"A+"
"3602",101.0244606,9.61003333333333,15206909,101.0244553,9.601236979,"L-(+)-Erythrulose_RT2","NISTNO:1625560",101.0244553,"[M-H-H2O]-",-1,"12C",0.98975797712401,0.052462541908266,"A+"
"3611",101.0244606,9.61003333333333,15206909,101.0244553,9.601236979,"L-(+)-Threose_RT2","NISTNO:1625981",101.0244553,"[M-H-H2O]-",-1,"12C",0.98975797712401,0.052462541908266,"A+"
"3669",101.0244606,9.61003333333333,15206909,101.0244553,9.601236979,"2-Ketobutyric acid","NISTNO:1052309",101.0244553,"[M-H]-",-1,"12C",0.98975797712401,0.052462541908266,"A+"
"3678",101.0244606,9.61003333333333,15206909,101.0244553,9.601236979,"Succinic semialdehyde","NISTNO:1160036",101.0244553,"[M-H]-",-1,"12C",0.98975797712401,0.052462541908266,"A+"
"3687",101.0244606,9.61003333333333,15206909,101.0244553,9.601236979,"Acetoacetic acid","NISTNO:1365060",101.0244553,"[M-H]-",-1,"12C",0.98975797712401,0.052462541908266,"A+"
"3710",167.0210602,9.5619,14986557,167.0210431,9.563685099,"Uric acid","NISTNO:1054035",167.0210431,"[M-H]-",-1,"12C",0.989607313718494,0.102382298131071,"A+"
"901",145.0142234,9.61003333333333,87728040,145.0142219,9.599483236,"1,3-Acetonedicarboxylic acid","NISTNO:1063300",145.0142219,"[M-H]-",-1,"12C",0.989399316135358,0.0103438129105125,"A+"
"676",180.0666931,10.0222333333333,155368896,180.0666868,10.03235677,"L-Tyrosine","NISTNO:1571693",180.0666868,"[M-H]-",-1,"12C",0.989289029115103,0.0349870366751502,"A+"
"685",180.0666931,10.0222333333333,155368896,180.0666868,10.03235677,"DL-o-Tyrosine","NISTNO:1257070",180.0666868,"[M-H]-",-1,"12C",0.989289029115103,0.0349870366751502,"A+"
"694",180.0666931,10.0222333333333,155368896,180.0666868,10.03235677,"DL-m-Tyrosine","NISTNO:1007184",180.0666868,"[M-H]-",-1,"12C",0.989289029115103,0.0349870366751502,"A+"
"561",257.0781623,9.32388333333333,210361184,257.0781783,9.333488973,"L-.gamma.-Glutamyl-L-glutamic acid","NISTNO:1185568",257.0781783,"[M-H-H2O]-",-1,"12C",0.988554308607774,0.062237880780305,"A+"
"570",257.0781623,9.32388333333333,210361184,257.0781783,9.333488973,"Glu-Glu","NISTNO:1089958",257.0781783,"[M-H-H2O]-",-1,"12C",0.988554308607774,0.062237880780305,"A+"
"579",257.0781623,9.32388333333333,210361184,257.0781783,9.333488973,"Gln-Glu","NISTNO:1639293",257.0781783,"[M-H-NH3]-",-1,"12C",0.988554308607774,0.062237880780305,"A+"
"588",257.0781623,9.32388333333333,210361184,257.0781783,9.333488973,"Glu-Gln","NISTNO:1635100",257.0781783,"[M-H-NH3]-",-1,"12C",0.988554308607774,0.062237880780305,"A+"
"597",257.0781623,9.32388333333333,210361184,257.0781783,9.333488973,"PyroGlu-Glu","NISTNO:1087423",257.0781783,"[M-H]-",-1,"12C",0.988554308607774,0.062237880780305,"A+"
"606",257.0781623,9.32388333333333,210361184,257.0781783,9.333488973,"3-Methyluridine","NISTNO:1172875",257.0781783,"[M-H]-",-1,"12C",0.988554308607774,0.062237880780305,"A+"
"352",130.0873993,9.77646666666667,481029952,130.0874,9.76463623,"Triethanolamine","NISTNO:1101219",130.0874,"[M-H-H2O]-",-1,"12C",0.988157332095256,0.00538099784492883,"A+"
"361",130.0873993,9.77646666666667,481029952,130.0874,9.76463623,"N-Methyl-L-valine_RT2","NISTNO:1251159",130.0874,"[M-H]-",-1,"12C",0.988157332095256,0.00538099784492883,"A+"
"931",239.077507,11.7091,76481992,239.0774958,11.72102356,"5-Amino-1-.beta.-D-ribofuranosyl-1H-imidazole-4-carboxamide_RT2","NISTNO:1213978",239.0774958,"[M-H-H2O]-",-1,"12C",0.987189166833438,0.0468467323811259,"A+"
"1392",161.0456349,9.66265,58685212,161.0456202,9.672650146,"D-Altrose_RT2","NISTNO:1117505",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1401",161.0456349,9.66265,58685212,161.0456202,9.672650146,"L-(+)-Gulose_RT2","NISTNO:1117508",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1410",161.0456349,9.66265,58685212,161.0456202,9.672650146,"scyllo-Inositol_RT2","NISTNO:1258872",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1419",161.0456349,9.66265,58685212,161.0456202,9.672650146,"Theobromine_RT2","NISTNO:1006638",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1428",161.0456349,9.66265,58685212,161.0456202,9.672650146,"Paraxanthine_RT2","NISTNO:1113324",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1437",161.0456349,9.66265,58685212,161.0456202,9.672650146,"Theophylline_RT2","NISTNO:1001123",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1446",161.0456349,9.66265,58685212,161.0456202,9.672650146,"myo-Inositol_RT2","NISTNO:1541445",161.0456202,"[M-H-H2O]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1491",161.0456349,9.66265,58685212,161.0456202,9.672650146,"D-Glucosamine","NISTNO:1056915",161.0456202,"[M-H-NH3]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1500",161.0456349,9.66265,58685212,161.0456202,9.672650146,"D-Mannosamine","NISTNO:1169877",161.0456202,"[M-H-NH3]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1509",161.0456349,9.66265,58685212,161.0456202,9.672650146,"Galactosamine","NISTNO:1169837",161.0456202,"[M-H-NH3]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1518",161.0456349,9.66265,58685212,161.0456202,9.672650146,"2-Dimethylamino-6-hydroxypurine","NISTNO:1054433",161.0456202,"[M-H-NH3]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1554",161.0456349,9.66265,58685212,161.0456202,9.672650146,"3-Hydroxy-3-methylglutaric acid","NISTNO:1369800",161.0456202,"[M-H]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1563",161.0456349,9.66265,58685212,161.0456202,9.672650146,"Dimethyl (R)-(+)-malate","NISTNO:1471814",161.0456202,"[M-H]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"1572",161.0456349,9.66265,58685212,161.0456202,9.672650146,"myo-Inositol, 1,2-anhydro-","NISTNO:1427042",161.0456202,"[M-H]-",-1,"12C",0.986460409143434,0.0912784753060128,"A+"
"915",210.0286522,9.905,79862520,210.0286671,9.917023722,"Creatine phosphate","NISTNO:1360361",210.0286671,"[M-H]-",-1,"12C",0.986039392570184,0.0709427015810139,"A+"
"883",505.9885646,10.0787,88389504,505.9886023,10.09081421,"Adenosine 5'-triphosphate_RT2","NISTNO:1162434",505.9886023,"[M-H]-",-1,"12C",0.985777907065336,0.0745076127104529,"A+"
"892",505.9885646,10.0787,88389504,505.9886023,10.09081421,"2'-Deoxyguanosine 5'-triphosphate_RT2","NISTNO:1160994",505.9886023,"[M-H]-",-1,"12C",0.985777907065336,0.0745076127104529,"A+"
"6242",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"1,6-Anhydro-.beta.-D-glucose_RT3","NISTNO:1022379",143.0350363,"[M-H-H2O]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"6251",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"Dimethyl (R)-(+)-malate_RT3","NISTNO:1471785",143.0350363,"[M-H-H2O]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"6260",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"myo-Inositol, 1,2-anhydro-_RT3","NISTNO:1427036",143.0350363,"[M-H-H2O]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"6264",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"DL-2-Methylglutamic acid_RT2","NISTNO:1052848",143.0350363,"[M-H-NH3]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"6266",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"2-Aminoadipic acid_RT2","NISTNO:1007124",143.0350363,"[M-H-NH3]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"6268",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"N-Methyl-L-glutamic acid_RT2","NISTNO:1251090",143.0350363,"[M-H-NH3]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"6275",143.035017,10.5800666666667,2168187.25,143.0350363,10.57256978,"3-Aminoadipic acid_RT2","NISTNO:1007125",143.0350363,"[M-H-NH3]-",-1,"12C",0.984564011579341,0.134931993548563,"A+"
"657",117.0194332,9.69731666666667,177846736,117.0194162,9.691819255,"Succinic acid_RT2","NISTNO:1281476",117.0194162,"[M-H]-",-1,"12C",0.984467136870241,0.145275015737401,"A+"
"666",117.0194332,9.69731666666667,177846736,117.0194162,9.691819255,"Methylmalonic acid_RT2","NISTNO:1341968",117.0194162,"[M-H]-",-1,"12C",0.984467136870241,0.145275015737401,"A+"
"2838",611.1451416,10.2463166666667,22223942,611.1450578,10.2382782,"Glutathione, oxidized","NISTNO:1236153",611.1450578,"[M-H]-",-1,"12C",0.984105507404751,0.137119636999703,"A+"
"1032",114.0560919,10.5013,65242552,114.0560736,10.49866638,"N-Methyl-L-threonine_RT2","NISTNO:1251071",114.0560736,"[M-H-H2O]-",-1,"12C",0.983740555355523,0.160447370138125,"A+"
"1035",114.0560919,10.5013,65242552,114.0560736,10.49866638,"DL-Ornithine","NISTNO:1350831",114.0560736,"[M-H-NH3]-",-1,"12C",0.983740555355523,0.160447370138125,"A+"
"1038",114.0560919,10.5013,65242552,114.0560736,10.49866638,"D-Ornithine","NISTNO:1058389",114.0560736,"[M-H-NH3]-",-1,"12C",0.983740555355523,0.160447370138125,"A+"
"1041",114.0560919,10.5013,65242552,114.0560736,10.49866638,"L-Proline","NISTNO:1560272",114.0560736,"[M-H]-",-1,"12C",0.983740555355523,0.160447370138125,"A+"
"1046",114.0560919,10.5013,65242552,114.0560736,10.49866638,"1-Amino-1-cyclobutanecarboxylic acid","NISTNO:1557910",114.0560736,"[M-H]-",-1,"12C",0.983740555355523,0.160447370138125,"A+"
"1050",114.0560919,10.5013,65242552,114.0560736,10.49866638,"5-Hydroxy-N-methyl-2-pyrrolidone","NISTNO:1005362",114.0560736,"[M-H]-",-1,"12C",0.983740555355523,0.160447370138125,"A+"
"1835",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"DL-Malic acid","NISTNO:1370753",115.0037386,"[M-H-H2O]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"1844",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"Diglycolic acid","NISTNO:1143411",115.0037386,"[M-H-H2O]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"1852",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"D-Aspartic acid","NISTNO:1250934",115.0037386,"[M-H-NH3]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"1861",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"L-Aspartic acid","NISTNO:1571715",115.0037386,"[M-H-NH3]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"1870",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"Ethyl nitroacetate","NISTNO:1189856",115.0037386,"[M-H-NH3]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"1879",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"Fumaric acid","NISTNO:1367958",115.0037386,"[M-H]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"1887",115.0037558,9.73508333333333,29165868,115.0037386,9.741829427,"Maleic acid","NISTNO:1329950",115.0037386,"[M-H]-",-1,"12C",0.983592906681635,0.149560332775132,"A+"
"3808",143.1077515,3.55671666666667,11815597,143.1077495,3.573572286,"Diethylene glycol monobutyl ether","NISTNO:1021338",143.1077495,"[M-H-H2O]-",-1,"12C",0.983086542504494,0.0139754833262857,"A+"
"3817",143.1077515,3.55671666666667,11815597,143.1077495,3.573572286,"Octanoic acid","NISTNO:1052199",143.1077495,"[M-H]-",-1,"12C",0.983086542504494,0.0139754833262857,"A+"
"3826",143.1077515,3.55671666666667,11815597,143.1077495,3.573572286,"Valproic acid","NISTNO:1055038",143.1077495,"[M-H]-",-1,"12C",0.983086542504494,0.0139754833262857,"A+"
"3835",143.1077515,3.55671666666667,11815597,143.1077495,3.573572286,"trans-1,4-Cyclohexanedimethanol","NISTNO:1368623",143.1077495,"[M-H]-",-1,"12C",0.983086542504494,0.0139754833262857,"A+"
"4058",115.0401077,3.61186666666667,8428315,115.0401067,3.628837077,"2-Deoxy-D-ribose","NISTNO:1564701",115.0401067,"[M-H-H2O]-",-1,"12C",0.983007341485462,0.0086926204909598,"A+"
"4066",115.0401077,3.61186666666667,8428315,115.0401067,3.628837077,"DL-Threonine methyl ester","NISTNO:1253279",115.0401067,"[M-H-NH3]-",-1,"12C",0.983007341485462,0.0086926204909598,"A+"
"4075",115.0401077,3.61186666666667,8428315,115.0401067,3.628837077,"Ethyl pyruvate","NISTNO:1066005",115.0401067,"[M-H]-",-1,"12C",0.983007341485462,0.0086926204909598,"A+"
"4084",115.0401077,3.61186666666667,8428315,115.0401067,3.628837077,"Methyl acetoacetate","NISTNO:1190156",115.0401067,"[M-H]-",-1,"12C",0.983007341485462,0.0086926204909598,"A+"
"4093",115.0401077,3.61186666666667,8428315,115.0401067,3.628837077,"2-Hydroxyethyl acrylate","NISTNO:1118847",115.0401067,"[M-H]-",-1,"12C",0.983007341485462,0.0086926204909598,"A+"
"344",124.0074374,10.11555,497844864,124.0074254,10.12966919,"Taurine","NISTNO:1173846",124.0074254,"[M-H]-",-1,"12C",0.982882969350942,0.0967683894589102,"A+"
"4099",115.0401077,3.61186666666667,8428315,115.0401125,3.628837077,"3-methyl-2-oxobutyric acid","NISTNO:1357814",115.0401125,"[M-H]-",-1,"12C",0.982524181522526,0.0417245785789603,"A+"
"623",132.0302982,10.0222333333333,178597968,132.0302746,10.0228363,"L-Aspartic acid_RT2","NISTNO:1571715",132.0302746,"[M-H]-",-1,"12C",0.982115147892186,0.178746850634431,"A+"
"632",132.0302982,10.0222333333333,178597968,132.0302746,10.0228363,"D-Aspartic acid_RT2","NISTNO:1250934",132.0302746,"[M-H]-",-1,"12C",0.982115147892186,0.178746850634431,"A+"
"641",132.0302982,10.0222333333333,178597968,132.0302746,10.0228363,"Iminodiacetic acid_RT2","NISTNO:1359533",132.0302746,"[M-H]-",-1,"12C",0.982115147892186,0.178746850634431,"A+"
"1758",165.019313,9.48878333333333,36675024,165.0193385,9.498360189,"3,4-Dihydroxymandelic acid","NISTNO:1113889",165.0193385,"[M-H-H2O]-",-1,"12C",0.981820252011537,0.15452736730556,"A+"
"1767",165.019313,9.48878333333333,36675024,165.0193385,9.498360189,"Terephthalic acid","NISTNO:1186098",165.0193385,"[M-H]-",-1,"12C",0.981820252011537,0.15452736730556,"A+"
"875",505.9885646,10.0787,88389504,505.9886459,10.06997681,"Adenosine 5'-triphosphate_RT2","NISTNO:1162447",505.9886459,"[M-H]-",-1,"12C",0.981717209593972,0.160675567917046,"A+"
"884",505.9885646,10.0787,88389504,505.9886459,10.06997681,"2'-Deoxyguanosine 5'-triphosphate_RT2","NISTNO:1161006",505.9886459,"[M-H]-",-1,"12C",0.981717209593972,0.160675567917046,"A+"
"4053",115.0401077,3.61186666666667,8428315,115.0401157,3.628837077,"2-Deoxy-D-ribose","NISTNO:1541451",115.0401157,"[M-H-H2O]-",-1,"12C",0.981660035881572,0.0695409641747376,"A+"
"465",191.0198626,9.98763333333333,279973728,191.0198333,9.997981771,"Glucaric acid","NISTNO:1357413",191.0198333,"[M-H-H2O]-",-1,"12C",0.981496852599252,0.153387190336396,"A+"
"473",191.0198626,9.98763333333333,279973728,191.0198333,9.997981771,"Mucic acid","NISTNO:1359399",191.0198333,"[M-H-H2O]-",-1,"12C",0.981496852599252,0.153387190336396,"A+"
"481",191.0198626,9.98763333333333,279973728,191.0198333,9.997981771,"D-Saccharic acid 1,4-lactone_RT2","NISTNO:1350661",191.0198333,"[M-H]-",-1,"12C",0.981496852599252,0.153387190336396,"A+"
