Analyte Cluster,Analyte Group,Analyte,Accession,Theoretical m/z,Adduct,Charge,Average m/z,Delta Average m/z ppm,Average RT,Std dev RT,Sample,Library,Record ID,ID Score,Raw Intensity,m/z,Aligned RT,delta m/z AMU,delta m/z ppm,m/z FWHM,RT FWHM,Isotopic Distribution Score,Mass Accuracy Score,MS2 Score,XIC Score,Attributes
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513614,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1640388,0.9762642,1.80E+08,127.0513614,11.01014811,6.03E-05,0.474716714,0.001098633,0.067209911,,0.9762642,,R,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0514199,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1638981,0.3415407,5.13E+08,127.0514199,11.01718038,1.19E-04,0.935681237,0.001152039,0.084720596,0.74968934,0.95321596,0.001599394,0.015858782,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513159,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1638981,0.3988128,1.75E+09,127.0513159,10.94787496,1.49E-05,0.117260117,0.001472473,0.111644554,0.9866655,0.994137,0.004420487,0.1797192,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.051398,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1640388,0.96184146,2.00E+08,127.051398,10.95591939,9.70E-05,0.763170533,0.001083374,0.054997194,,0.9618415,,R,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513386,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1638981,0.3781419,6.00E+08,127.0513386,10.93809713,3.75E-05,0.295457716,0.001296997,0.103750149,0.8983551,0.9852271,0.0023757,0.009076295,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513409,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1640388,0.98430556,8.20E+07,127.0513409,10.9576945,3.99E-05,0.313888751,7.86E-04,0.036849976,,0.98430556,,R,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0349954,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1625967,0.99498016,1.95E+08,131.0349954,10.64867859,1.32E-05,0.100397181,8.24E-04,0.136722183,,0.99498016,,R,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0349898,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1625956,0.91963595,2.03E+09,131.0349898,10.61051331,7.49E-06,0.057126326,0.001190186,0.239699888,0.996422,0.9971437,0.8682046,0.86983246,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0349915,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1625967,0.9964892,2.02E+08,131.0349915,10.62894491,9.20E-06,0.070215205,8.24E-04,0.08758142,,0.9964892,,R,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0350398,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1625967,0.9780534,2.30E+08,131.0350398,10.64869181,5.75E-05,0.438932879,8.39E-04,0.135121187,,0.9780534,,R,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0350063,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1625967,0.99083346,3.32E+08,131.0350063,10.57256978,2.40E-05,0.183329233,8.24E-04,0.127903986,,0.9908335,,R,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0350257,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1625967,0.9834329,1.55E+08,131.0350257,10.6033783,4.34E-05,0.33134316,8.54E-04,0.109672038,,0.9834328,,R,
,D-Psicose_RT4,D-Arabinose,CASNO:10323-20-3,131.0350016,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1625967,0.9926367,2.82E+08,131.0350016,10.65050863,1.93E-05,0.147266067,4.58E-04,0.117066161,,0.9926367,,R,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0349954,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1625934,0.99498016,1.95E+08,131.0349954,10.64867859,1.32E-05,0.100397181,8.24E-04,0.136722183,,0.99498016,,R,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0349898,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1625933,0.91702044,2.03E+09,131.0349898,10.61051331,7.49E-06,0.057126326,0.001190186,0.239699888,0.996422,0.9971437,0.8638454,0.86983246,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0349915,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1625934,0.9964892,2.02E+08,131.0349915,10.62894491,9.20E-06,0.070215205,8.24E-04,0.08758142,,0.9964892,,R,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0350398,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1625934,0.9780534,2.30E+08,131.0350398,10.64869181,5.75E-05,0.438932879,8.39E-04,0.135121187,,0.9780534,,R,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0350063,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1625934,0.99083346,3.32E+08,131.0350063,10.57256978,2.40E-05,0.183329233,8.24E-04,0.127903986,,0.9908335,,R,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0350257,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1625934,0.9834329,1.55E+08,131.0350257,10.6033783,4.34E-05,0.33134316,8.54E-04,0.109672038,,0.9834328,,R,
,D-Psicose_RT4,D-Xylose,CASNO:58-86-6,131.0350016,[M-H-H2O]-,-1,131.035,NaN,10.623327,0.029424885,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1625934,0.9926367,2.82E+08,131.0350016,10.65050863,1.93E-05,0.147266067,4.58E-04,0.117066161,,0.9926367,,R,
,D-Psicose_RT4,.gamma.-Hydroxybutyric acid,CASNO:591-81-1,85.02954969,[M-H-H2O]-,-1,85.02955,NaN,10.610431,0.020640524,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1442444,0.97987,1.86E+09,85.02954969,10.59221598,4.67E-05,0.549368296,8.24E-04,0.209639438,,0.9725316,0.9823162,0.7486732,
,D-Psicose_RT4,.gamma.-Hydroxybutyric acid,CASNO:591-81-1,85.02953393,[M-H-H2O]-,-1,85.02955,NaN,10.610431,0.020640524,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1442446,0.9817975,2.59E+07,85.02953393,10.64867859,3.10E-05,0.364050235,2.44E-04,0.039142021,,0.9817975,,R,
,D-Psicose_RT4,.gamma.-Hydroxybutyric acid,CASNO:591-81-1,85.02955249,[M-H-H2O]-,-1,85.02955,NaN,10.610431,0.020640524,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1442444,0.96750546,1.79E+09,85.02955249,10.61051331,4.95E-05,0.58230589,8.16E-04,0.182849439,,0.97088474,0.966379,0.7259964,
,D-Psicose_RT4,.gamma.-Hydroxybutyric acid,CASNO:591-81-1,85.02961243,[M-H-H2O]-,-1,85.02955,NaN,10.610431,0.020640524,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1442446,0.9356381,1.90E+07,85.02961243,10.59389038,1.09E-04,1.287238986,1.83E-04,0.052450601,,0.9356381,,R,
,D-Psicose_RT4,.gamma.-Hydroxybutyric acid,CASNO:591-81-1,85.02955718,[M-H-H2O]-,-1,85.02955,NaN,10.610431,0.020640524,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1442444,0.9696436,1.84E+09,85.02955718,10.61391195,5.42E-05,0.637420994,8.16E-04,0.198003356,,0.968129,0.9701485,0.6758917,
,D-Psicose_RT4,.gamma.-Hydroxybutyric acid,CASNO:591-81-1,85.0294828,[M-H-H2O]-,-1,85.02955,NaN,10.610431,0.020640524,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1442446,0.9881328,7.20E+06,85.0294828,10.6033783,2.02E-05,0.237344308,1.83E-04,0,,0.9881328,,R,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244336,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1625978,0.8753389,1.68E+10,101.0244336,10.65872599,1.60E-05,0.158769611,0.001190186,0.31047376,0.96427405,0.9920615,0.8067864,0.965349,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244204,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1625976,0.5955767,3.61E+09,101.0244204,10.64867859,2.82E-06,0.027935692,8.85E-04,0.478728612,0.97265786,0.9986032,0.33554077,0.7701953,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244257,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1625981,0.9074374,1.39E+10,101.0244257,10.65498962,8.07E-06,0.079850838,0.001266479,0.271772416,0.92957157,0.99600744,0.8705359,0.97181094,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244509,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1625975,0.656444,9.63E+09,101.0244509,10.73509928,3.33E-05,0.329974566,0.001098633,0.554757309,0.929986,0.98350126,0.45624432,0.8140815,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244762,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1625976,0.58621484,3.54E+09,101.0244762,10.64869181,5.86E-05,0.579576539,8.47E-04,0.547654025,0.93319863,0.9710212,0.34228477,0.8563328,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244232,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1625978,0.92606294,1.24E+10,101.0244232,10.65536804,5.59E-06,0.05535474,0.001312256,0.263113022,0.97863317,0.99723226,0.88481647,0.9569368,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244812,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1625975,0.6549667,9.95E+09,101.0244812,10.73115946,6.36E-05,0.629980344,0.001068115,0.505792046,0.9583535,0.968501,0.44932646,0.8375158,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244212,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1625978,0.81502825,3.45E+09,101.0244212,10.65186564,3.63E-06,0.035959846,8.70E-04,0.616745059,0.9631073,0.998202,0.7046106,0.8661051,
,D-Psicose_RT4,L-(+)-Threose_RT3,CASNO:95-44-3,101.0244291,[M-H-H2O]-,-1,101.02444,NaN,10.670565,0.035635885,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1625978,0.8266425,1.39E+09,101.0244291,10.65050863,1.15E-05,0.113357519,8.47E-04,0.169143073,0.7925699,0.99433213,0.78210354,0.4500539,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0244972,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1052336,0.8351854,7.22E+09,113.0244972,10.59221598,7.96E-05,0.704597982,0.002410889,0.191809114,0.9700995,0.96477014,0.747019,0.86673254,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0245016,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1052336,0.7650703,1.37E+09,113.0245016,10.64867859,8.40E-05,0.743498369,0.001274109,0.157323519,0.9427905,0.9628251,0.63991195,0.27275062,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0244997,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1052336,0.81624246,6.45E+09,113.0244997,10.61051331,8.21E-05,0.726742731,0.001434326,0.179887724,0.9931761,0.96366286,0.7081244,0.86023945,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0245164,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1052336,0.76226145,2.79E+09,113.0245164,10.62894491,9.88E-05,0.874546894,0.00125885,0.159737889,0.8987235,0.9562727,0.65210366,0.41293773,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0245558,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1052336,0.75237525,1.31E+09,113.0245558,10.64869181,1.38E-04,1.222825371,0.00125885,0.151743635,0.9840121,0.9388588,0.61300176,0.23799855,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0245,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1052336,0.9115306,5.98E+09,113.0245,10.61391195,8.24E-05,0.72947005,0.001480103,0.171178118,0.99335194,0.96352655,0.86692494,0.81106013,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0245485,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1052336,0.8514459,2.93E+09,113.0245485,10.63483582,1.31E-04,1.157771676,0.00125885,0.166146723,0.9848768,0.9421115,0.77674705,0.57885593,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0245005,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1052336,0.79042315,1.26E+09,113.0245005,10.6033783,8.29E-05,0.73337449,0.001243591,0.151186577,0.9800473,0.9633313,0.669579,0.21774825,
,D-Psicose_RT4,Ethyl hydrogen malonate,CASNO:1071-46-1,113.0244976,[M-H-H2O]-,-1,113.024506,NaN,10.625743,0.021665603,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1052336,0.7112846,3.05E+09,113.0244976,10.65050863,8.00E-05,0.707551101,0.001220703,0.173994398,0.9688961,0.9646225,0.54096806,0.60653377,
